,0,Longitude,Latitude
0,Budapest,19.0403594,47.4979937
1,Szolnok,20.1946279,47.1753833
2,Gyõr,17.6346815,47.687609
3,Szombathely,16.6187625,47.2291184
4,Miskolc,20.7900429,48.1030643
5,Kecskemét,19.6928069,46.9080791
6,Békéscsaba,21.0985425,46.6798003
7,Keszthely,17.2462801,46.7675081
8,Gyenesdiás,17.2860041,46.7725171
9,Ózd,20.2954986,48.2196425
10,Nyíregyháza,21.7167982,47.9557802
11,Debrecen,21.6259782,47.531399
12,Nyírbátor,22.1322309,47.839511
13,Szeged,20.1486016,46.2546312
14,Zalaegerszeg,16.8456316,46.8415803
15,Siófok,18.0541598,46.9071694
16,Paks,18.8589364,46.6229468
17,Kõszeg,16.5406843,47.3894949
18,Pécs,18.2280397,46.0765883
19,Veszprém,17.9080406,47.0933824
20,Székesfehérvár,18.410811,47.1910169
21,Szekszárd,18.701663,46.3484884
22,Huedin,23.02042744820303,46.8629674
23,Esztergom,18.7403349,47.7856977
24,Nitra ,18.0894593,48.31295
25,Baja,-41.9294776,-12.285251
26,Balatonalmádi,18.0155756,47.030277
27,Zamárdi,17.9459459,46.880099
28,Balatonfüred,17.888892,46.9567254
29,Balatonlelle,17.6965209,46.7867617
30,Milano,9.1896346,45.4641943
31,Csongrád,20.1531646,46.7096643
32,Hódmezõvásárhely,20.3196068,46.4171344
33,Hajdúböszörmény,21.5078944,47.6716617
34,München,11.5753822,48.1371079
35,Komárom,18.1218256,47.7417349
36,Orosháza,20.6693477,46.5603339
37,Lovasberény,18.5526726,47.3099528
38,Mezõkövesd,20.5660889,47.8097525
39,Kaposvár,17.7886886,46.3564692
40,Balmazújváros,21.3437378,47.6116279
41,Miercurea Ciuc,25.8026675,46.3614042
42,Sopron,16.5983457,47.6803063
43,Tatabánya,18.3980308,47.5837788
44,Bruxelles,4.351697,50.8465573
45,Csorvás,20.8336244,46.6304122
46,Csoma,18.0509268,46.3726866
47,Csorna,17.2497955,47.6134153
48,Dombóvár,18.1332865,46.3778989
49,Orfû,18.1551995,46.1380554
50,Frankfurt am Main,8.6820917,50.1106444
51,Dubrovnik,18.094680152605108,42.64873625
52,Balatonfûzfõ,18.0409677,47.0620043
53,Split,16.4399659,43.5116383
54,Eger,20.3743665,47.8989887
55,Wien,16.3725042,48.2083537
56,Bad Waltersdorf,16.0088882,47.168506
57,Fonyód,17.54946,46.7467521
58,Marseille,5.3699525,43.2961743
59,Barcelona,2.1774322,41.3828939
60,Gibraltar,-5.3474761,36.1285933
61,London,-0.1276474,51.5073219
62,Balatonkeresztúr,17.3703877,46.6976597
63,Veresegyház,19.2868815,47.655235
64,Kapospula,18.0973454,46.3757221
65,Kistelek,19.9812009,46.4704606
66,Érd,18.9213833,47.3772495
67,Dunaföldvár,18.9222921,46.810432
68,Berlin,13.3888599,52.5170365
69,Budaörs,18.9541818,47.4600185
70,Salgótarján,19.8005642,48.0960676
71,Gödöllõ,19.3476981,47.601529
72,Egyházasrádóc,16.6161599,47.0886895
