,0,Longitude,Latitude
0,Miskolc,20.7900429,48.1030643
1,Budapest,19.0403594,47.4979937
2,Kecskemét,19.6928069,46.9080791
3,Debrecen,21.6259782,47.531399
4,Eger,20.3743665,47.8989887
5,Celldömölk,17.1521883,47.2579643
6,Szolnok,20.1946279,47.1753833
7,Szombathely,16.6187625,47.2291184
8,Szeged,20.1486016,46.2546312
9,Baja,-41.9294776,-12.285251
10,Mosonmagyaróvár,17.2722342,47.8731793
11,Zalaegerszeg,16.8456316,46.8415803
12,Kõszeg,16.5406843,47.3894949
13,Gyõr,17.6346815,47.687609
14,Bonyhád,18.532191,46.2984212
15,Nyíregyháza,21.7167982,47.9557802
16,Körmend,16.6010475,47.0126655
17,Pécs,18.2280397,46.0765883
18,Nitra,18.0894593,48.31295
19,Keszthely,17.2462801,46.7675081
20,Békéscsaba,21.0985425,46.6798003
21,Saarbrücken,6.996379,49.234362
22,Orosháza,20.6693477,46.5603339
23,Hódmezõvásárhely,20.3196068,46.4171344
24,Bruxelles,4.351697,50.8465573
25,Hajdúböszörmény,21.5078944,47.6716617
26,München,11.5753822,48.1371079
27,Szekszárd,18.701663,46.3484884
28,Siófok,18.0541598,46.9071694
29,Csorvás,20.8336244,46.6304122
30,Székesfehérvár,18.410811,47.1910169
31,Tiszaújváros,21.0467056,47.9280341
32,Tatabánya,18.3980308,47.5837788
33,Komárom,18.1218256,47.7417349
34,Dombóvár,18.1332865,46.3778989
35,Csoma,18.0509268,46.3726866
36,Balatonberény,17.3193203,46.710836
37,Veszprém,17.9080406,47.0933824
38,Budaörs,18.9541818,47.4600185
39,Balassagyarmat,19.2926037,48.0768832
40,Érd,18.9213833,47.3772495
41,Kapospula,18.0973454,46.3757221
42,Wien,16.3725042,48.2083537
43,Berlin,13.3888599,52.5170365
44,Szentes,20.2566408,46.6524049
45,Salgótarján,19.8005642,48.0960676
46,Veresegyház,19.2868815,47.655235
47,Kisvárda,22.0784247,48.2257593
48,Galway,-9.0490601,53.2744122
49,Szigetszentmiklós,19.0409037,47.345765
50,Makó,20.4751022,46.2150438
51,Kaposvár,17.7886886,46.3564692
52,Sátoraljaújhely,21.6561497,48.3960978
53,Jánoshida,20.0565734,47.3839188
54,Tiszafüred,20.7502258,47.6130877
55,Cluj-Napoca,23.5899542,46.769379
